5:	T1
56:	Javorek
60:	Tiršel
79:	Tiršelovi
79:	Heroutovi
79:	Mgr
79:	Válkové
106:	Facebook
117:	CMC
117:	Susan
117:	December
119:	CMC
119:	CMC
121:	CMC
121:	CMC
122:	CMC
122:	IRC
122:	CMC
124:	CMC
124:	CMC
125:	CMC
125:	Skype
131:	IRC
132:	IRC
132:	IRC
132:	XMPP
132:	Relay
134:	CMC
136:	XMPP
137:	RFC
137:	XMPP
137:	RFC
137:	XMPP
137:	Messaging
137:	Presence
137:	Messaging
137:	RFC
137:	Extensible
137:	Protocol
137:	Core
137:	XMPP
137:	Instant
139:	ICQ
139:	AIM
139:	MSN
139:	XMPP
139:	XMPP
139:	RFC
139:	ICQ
139:	Windows
139:	Messenger
139:	MSN
139:	Yahoo
139:	Messenger
139:	Google
139:	Chat
139:	Jabberu
141:	XMPP
141:	CMC
141:	IM
141:	IM
141:	Messaging
141:	IM
143:	SMTP
144:	SMTP
144:	POP
144:	IMAP
144:	CMC
144:	SMTP
144:	POP
144:	IMAP
144:	CMC
149:	Facebooku
149:	GitHub
149:	Basecamp
153:	CMC
153:	CMC
153:	March
153:	Olsen
155:	Clarence
162:	Grudin
164:	ICQ
164:	ICQ
164:	Jabber
167:	Kunstová
169:	CMC
173:	HTTP
173:	HTTP
173:	Wide
178:	Facebook
181:	CMC
181:	XMPP
181:	Facebooku
181:	Chat
181:	Messages
181:	Events
181:	Groups
184:	Johnatan
190:	Groups
190:	Facebooku
190:	Groups
190:	Python
193:	CMC
193:	Facebooku
193:	CMC
200:	Google
203:	Gmail
203:	Talk
203:	Google
203:	Gmail
205:	Groups
207:	Messaging
208:	XMPP
208:	Google
208:	Google
211:	Slots
211:	Calendar
211:	Events
214:	Docs
214:	Google
217:	SMS
217:	Talk
217:	Facebooku
217:	Google
217:	Hangouts
217:	Google
219:	Apps
220:	Google
220:	Google
220:	Google
225:	Basecamp
227:	CRM
227:	Basecampu
227:	CRM
227:	Highrise
227:	Backpack
227:	Campfire
234:	LinkedIn
234:	Facebooku
234:	Lanyrd
236:	Srazy
238:	Last
241:	The
243:	Remember
243:	Milk
245:	Lists
251:	GitHub
254:	Google
254:	Facebook
254:	Docs
254:	Basecamp
254:	YouTube
254:	Vimeo
254:	Facebook
254:	Web
254:	Flickr
259:	CMC
259:	Google
259:	Talk
259:	Facebook
263:	CMC
263:	IRC
263:	CMC
263:	IRC
265:	Facebook
267:	Google
269:	CMC
269:	Groups
269:	Facebook
269:	Facebook
271:	Facebook
271:	Lanyrd
271:	Srazy
278:	Docs
285:	Facebook
285:	Twitter
287:	Bitly
287:	Docs
287:	Twitter
308:	CMC
323:	Doodle
326:	CMC
326:	CMC
326:	Zde
329:	CMC
332:	CMC
332:	CMC
335:	CMC
335:	TCP
335:	UDP
335:	IP
335:	CMC
335:	Protocol
335:	UDP
335:	IP
342:	Facebook
342:	Twitter
342:	Google
345:	ICQ
345:	Gmailu
345:	Facebooku
356:	Organizuji
357:	CMC
357:	SMS
357:	SMS
360:	SMS
360:	Facebooku
363:	YouTube
363:	Vimeo
366:	Srazy
369:	SU
369:	FI
369:	SU
369:	FI
369:	SU
369:	FI
369:	FI
369:	MU
369:	FI
369:	SU
